method,n_estimators,test_accuracy,test_error
Bagging,1,0.9288860918816866,0.07111390811831342
Random Forest,1,0.9326620516047829,0.06733794839521712
Boosting,1,0.7539332913782253,0.2460667086217747
Bagging,10,0.9609817495280051,0.03901825047199492
Random Forest,10,0.9666456891126495,0.033354310887350525
Boosting,10,0.9169288860918817,0.08307111390811828
Bagging,20,0.9647577092511013,0.03524229074889873
Random Forest,20,0.9672750157331655,0.032724984266834456
Boosting,20,0.9244808055380742,0.07551919446192579
Bagging,30,0.9660163624921334,0.03398363750786659
Random Forest,30,0.9672750157331655,0.032724984266834456
Boosting,30,0.9458779106356199,0.05412208936438012
Bagging,40,0.9672750157331655,0.032724984266834456
Random Forest,40,0.9679043423536816,0.03209565764631839
Boosting,40,0.9546884833228445,0.045311516677155494
Bagging,50,0.9666456891126495,0.033354310887350525
Random Forest,50,0.9672750157331655,0.032724984266834456
Boosting,50,0.9572057898049088,0.04279421019509122
Bagging,60,0.9660163624921334,0.03398363750786659
Random Forest,60,0.9672750157331655,0.032724984266834456
Boosting,60,0.9597230962869729,0.04027690371302706
Bagging,70,0.9660163624921334,0.03398363750786659
Random Forest,70,0.9672750157331655,0.032724984266834456
Boosting,70,0.9622404027690371,0.037759597230962894
Bagging,80,0.9653870358716173,0.03461296412838266
Random Forest,80,0.9666456891126495,0.033354310887350525
Boosting,80,0.9622404027690371,0.037759597230962894
Bagging,90,0.9666456891126495,0.033354310887350525
Random Forest,90,0.9666456891126495,0.033354310887350525
Boosting,90,0.9622404027690371,0.037759597230962894
Bagging,100,0.9666456891126495,0.033354310887350525
Random Forest,100,0.9666456891126495,0.033354310887350525
Boosting,100,0.9628697293895532,0.037130270610446825
Bagging,110,0.9666456891126495,0.033354310887350525
Random Forest,110,0.9672750157331655,0.032724984266834456
Boosting,110,0.9647577092511013,0.03524229074889873
Bagging,120,0.9666456891126495,0.033354310887350525
Random Forest,120,0.9672750157331655,0.032724984266834456
Boosting,120,0.9641283826305853,0.03587161736941469
Bagging,130,0.9660163624921334,0.03398363750786659
Random Forest,130,0.9679043423536816,0.03209565764631839
Boosting,130,0.9653870358716173,0.03461296412838266
Bagging,140,0.9660163624921334,0.03398363750786659
Random Forest,140,0.9672750157331655,0.032724984266834456
Boosting,140,0.9653870358716173,0.03461296412838266
Bagging,150,0.9666456891126495,0.033354310887350525
Random Forest,150,0.9672750157331655,0.032724984266834456
Boosting,150,0.9660163624921334,0.03398363750786659
Bagging,160,0.9653870358716173,0.03461296412838266
Random Forest,160,0.9666456891126495,0.033354310887350525
Boosting,160,0.9660163624921334,0.03398363750786659
Bagging,170,0.9653870358716173,0.03461296412838266
Random Forest,170,0.9666456891126495,0.033354310887350525
Boosting,170,0.9660163624921334,0.03398363750786659
Bagging,180,0.9660163624921334,0.03398363750786659
Random Forest,180,0.9666456891126495,0.033354310887350525
Boosting,180,0.9666456891126495,0.033354310887350525
Bagging,190,0.9666456891126495,0.033354310887350525
Random Forest,190,0.9679043423536816,0.03209565764631839
Boosting,190,0.9666456891126495,0.033354310887350525
Bagging,200,0.9660163624921334,0.03398363750786659
Random Forest,200,0.9666456891126495,0.033354310887350525
Boosting,200,0.9679043423536816,0.03209565764631839
