K,cv_accuracy,cv_std
1,0.9446831883773292,0.0030956514950890948
2,0.940904874668529,0.007123327896425832
3,0.9665411715064147,0.0019757458561561712
4,0.9657314549072245,0.0026416936829223386
5,0.9678903354176442,0.0015645264174085098
6,0.9681606047047954,0.00217879042734347
7,0.9678903354176442,0.002152489910340288
8,0.96870077952501,0.002734218279547324
9,0.9692394993288737,0.001311642161467318
10,0.9687000520168345,0.0013055749908930554
11,0.9687000520168345,0.0017780624264660564
12,0.9686996882627469,0.0017851639427330073
13,0.9681602409507077,0.0016088915259515049
14,0.9676207936386685,0.0018951924490376972
15,0.9676204298845809,0.0019021660866675736
16,0.96815987719662,0.0018280955946342165
17,0.9687000520168345,0.002149066292131411
18,0.9686996882627469,0.0015679031649472625
19,0.9681606047047954,0.0021787904273435055
20,0.9684301464837711,0.0018199211378557185
21,0.9684305102378588,0.002003380252965525
22,0.9681606047047954,0.0023400037807802974
23,0.967890699171732,0.0019692752690961164
24,0.9681606047047954,0.0021787904273434704
25,0.9673512518596927,0.0023058595126150463
26,0.9670813463266293,0.002631533336298347
27,0.9673512518596927,0.0021420779920756283
28,0.9670813463266293,0.0026315333362983474
29,0.9670813463266293,0.0021770387678454596
30,0.9668110770394783,0.0020110107809621137
